edge_id:int,source_id:int,target_id:int,label_id:int
1917336,701037,2634,48
1918434,701363,257,48
1918435,701363,258,49
1928490,704516,257,48
1928491,704516,2193,49
1928492,704516,5445,49
14657692,704517,257,48
14657693,704517,2193,49
14657694,704517,5445,49
1931800,705470,257,48
1931802,705470,34420,49
1931801,705470,9855,48
8713071,705471,257,48
8713073,705471,34420,49
8713072,705471,9855,48
10545130,707110,949,48
10545131,707110,28599,48
1951675,711658,257,48
1951676,711658,258,49
1952119,711791,949,48
1953799,712249,257,48
1953800,712249,258,49
1953801,712249,221261,49
1956522,712250,257,48
1956523,712250,258,49
1956524,712250,221261,49
1962493,714911,949,48
1962511,714918,949,48
1968802,716857,949,48
1968840,716864,949,48
1970056,717307,257,48
1970057,717307,258,49
1994730,725554,257,48
1994731,725554,34420,49
7336751,725555,257,48
7336752,725555,34420,49
2002533,728047,257,48
2002534,728047,258,49
3420851,728048,257,48
3420852,728048,258,49
8784822,729705,46509,48
2008193,729749,257,48
12800624,729751,257,48
15774898,729753,257,48
2009100,729945,257,48
2009101,729945,258,49
2018870,732858,257,48
2018871,732858,258,49
2019130,732933,257,48
2019131,732933,258,49
2022873,734046,257,48
2022874,734046,258,49
2022875,734046,6980,49
2026916,735248,257,48
2026917,735248,52845,49
13228994,735249,257,48
13228995,735249,52845,49
2026928,735251,257,48
2026929,735251,52845,49
2026930,735251,73329,49
2031662,736752,257,48
2031663,736752,34420,49
14786573,736753,257,48
14786574,736753,34420,49
2039976,739279,257,48
2039977,739279,52845,49
4269094,739280,257,48
4269095,739280,52845,49
4268961,739281,257,48
4268962,739281,52845,49
2047649,741718,949,48
2047746,741719,949,48
2047731,741747,949,48
2051356,742811,949,48
2054685,743827,949,48
2055268,744026,257,48
2055269,744026,9854,49
2180274,744029,257,48
2180275,744029,9854,49
2185283,744030,257,48
2185284,744030,9854,49
2058684,745067,949,48
2066935,747881,56958,48
2066936,747881,2632,49
2710809,747882,56958,48
2710810,747882,2632,49
2068964,748473,257,48
2068965,748473,258,49
2068966,748473,6980,49
2068967,748473,6981,49
14946388,748474,257,48
14946389,748474,258,49
14946390,748474,6980,49
14946391,748474,6981,49
2075907,750600,949,48
2075955,750615,56958,48
2081593,752373,257,48
2081594,752373,52747,49
12771755,752375,257,48
12771756,752375,52747,49
2084818,753376,949,48
2087708,754205,257,48
2087709,754205,258,49
2087994,754268,257,48
2087995,754268,2193,49
2087996,754268,10733,49
2096257,756671,149070,49
2096263,756671,44390,49
2098270,757356,257,48
2098271,757356,258,49
2098272,757356,6980,49
6779288,759589,257,48
6779289,759589,65859,49
6795525,759590,257,48
6795526,759590,65859,49
2110313,761059,257,48
2110314,761059,52747,49
12685650,761060,257,48
12685651,761060,52747,49
2111701,761446,257,48
2111702,761446,258,49
2111703,761446,6980,49
2112677,761723,949,48
2127908,766289,46509,48
2136345,768676,257,48
2136346,768676,258,49
2136610,768762,257,48
2136611,768762,34420,49
2136631,768770,257,48
2136632,768770,34420,49
2136637,768773,257,48
2136638,768773,34420,49
5832130,769186,257,48
5832131,769186,65859,49
9725857,769421,2871,49
9725861,769421,2634,48
9725862,769421,2872,49
2142643,770480,257,48
2142644,770480,34420,49
2142779,770544,257,48
2142780,770544,34420,49
2142791,770549,257,48
2142792,770549,34420,49
2146107,771530,6526,48
2146108,771530,314516,49
5569631,771531,6526,48
5569632,771531,314516,49
5569654,771532,6526,48
5569655,771532,314516,49
2147329,771919,56958,48
2147330,771919,2871,49
2147336,771919,2872,49
3626178,771920,2871,49
3626184,771920,2634,48
3626185,771920,2872,49
2149332,772541,2871,49
2149338,772541,2634,48
2149339,772541,2872,49
2149355,772549,2871,49
2149361,772549,2634,48
2149362,772549,2872,49
2149527,772582,2871,49
2149533,772582,2634,48
2149554,772586,2871,49
2149560,772586,2634,48
2149561,772586,2872,49
2149563,772587,2871,49
2149569,772587,2634,48
2149570,772587,2872,49
2151640,773174,257,48
2151641,773174,65859,49
2151711,773201,257,48
2151712,773201,34420,49
2152299,773345,257,48
2152300,773345,34420,49
2164738,777532,2634,48
2166354,777957,949,48
2962661,780782,257,48
2962662,780782,258,49
3637171,781630,257,48
3637172,781630,258,49
2288954,783840,257,48
2288955,783840,258,49
2187377,784305,257,48
2187378,784305,9854,49
2187840,784430,2634,48
2187845,784431,2634,48
2189908,785071,257,48
2189909,785071,258,49
2195384,786927,257,48
2195385,786927,258,49
2195558,786980,257,48
2195559,786980,258,49
2639992,786981,257,48
2639993,786981,258,49
2195634,787002,257,48
2195635,787002,258,49
2201328,788646,2632,49
2201334,788646,2634,48
11394683,788647,2632,49
11394687,788647,2634,48
2204898,789881,70579,49
2204902,789881,2634,48
2204903,789881,2872,49
17400180,789882,70579,49
17400183,789882,2634,48
17400184,789882,2872,49
2214051,792858,949,48
2225757,796761,257,48
2225758,796761,2193,49
2225759,796761,101021,49
2240454,801243,257,48
2240455,801243,258,49
2240456,801243,6980,49
2240498,801259,257,48
2240499,801259,258,49
2249018,803979,257,48
2249019,803979,258,49
2760879,803981,257,48
2760880,803981,258,49
2250104,804258,257,48
2250105,804258,258,49
2272801,811453,257,48
2272802,811453,258,49
2272803,811453,6980,49
6540208,811466,257,48
6540209,811466,258,49
2278138,813132,257,48
2278139,813132,1359,49
2278618,813267,257,48
2278619,813267,1359,49
10058868,813268,257,48
10058869,813268,1359,49
2297021,819019,257,48
2297022,819019,258,49
10094848,821173,257,48
10094849,821173,1359,49
2305914,821857,257,48
2305915,821857,258,49
2306718,822107,949,48
2534133,822108,949,48
9551834,823054,46509,48
2323889,827337,56958,48
2323890,827337,70579,49
2323894,827337,2872,49
9786393,827338,56958,48
9786394,827338,70579,49
9786396,827338,2872,49
2325623,827831,2634,48
2341349,832582,257,48
2341350,832582,9854,49
10770915,836711,257,48
10770916,836711,258,49
2356907,837443,257,48
2356908,837443,258,49
2361078,838782,257,48
2361079,838782,258,49
2367022,840531,949,48
14188574,840532,949,48
14188463,840533,949,48
2369700,841283,6526,48
2369701,841283,6527,49
2374675,842693,257,48
2374676,842693,258,49
2380936,844532,257,48
2380937,844532,52747,49
2392065,847811,257,48
2392066,847811,2193,49
2392067,847811,101021,49
2402183,850966,14600,49
2404928,850967,252536,49
2404927,850967,14600,48
2453363,866820,257,48
2453364,866820,258,49
2453470,866855,44390,48
14240597,866856,44390,48
2469632,871680,257,48
2469633,871680,258,49
2481333,875291,2871,49
2481339,875291,2634,48
2481340,875291,2872,49
9726114,875292,2871,49
9726118,875292,2634,48
9726119,875292,2872,49
2483358,875917,257,48
2483359,875917,258,49
10302247,875918,257,48
10302248,875918,258,49
2798986,876079,257,48
2798987,876079,258,49
2491311,878412,257,48
2491312,878412,258,49
2502271,881874,257,48
2502272,881874,258,49
2524666,888933,949,48
3263232,888934,949,48
3263145,888935,949,48
2526375,889466,257,48
2526376,889466,258,49
2527200,889708,257,48
2527201,889708,258,49
2528619,890102,257,48
2528620,890102,258,49
