edge_id:int64,source_id:int64,target_id:int64,label_id:int,graph_id:int
1,1,0,49,98
3,3,1,51,98
1,1,0,50,99
3,1,3,48,99
2,2,1,50,99
1,1,0,50,100
3,1,3,48,100
2,2,1,50,100
1,1,0,50,101
3,1,3,48,101
2,2,1,50,101
1,1,0,50,102
3,1,3,48,102
2,2,1,50,102
1,1,0,50,103
3,1,3,48,103
2,2,1,50,103
1,1,0,50,104
3,1,3,48,104
2,2,1,50,104
1,1,0,50,105
3,1,3,48,105
2,2,1,50,105
1,1,0,50,106
3,1,3,48,106
2,2,1,50,106
1,1,0,50,107
3,1,3,48,107
2,2,1,50,107
1,1,0,50,108
3,1,3,48,108
2,2,1,50,108
3,0,3,48,109
1,1,0,49,109
2,2,1,50,109
3,0,3,48,110
1,1,0,49,110
2,2,1,50,110
3,0,3,48,111
1,1,0,49,111
2,2,1,50,111
3,0,3,48,112
1,1,0,49,112
2,2,1,50,112
3,0,3,48,113
1,1,0,49,113
2,2,1,50,113
3,0,3,48,114
1,1,0,49,114
2,2,1,50,114
3,0,3,48,115
1,1,0,49,115
2,2,1,50,115
3,0,3,48,116
1,1,0,49,116
2,2,1,50,116
3,0,3,48,117
1,1,0,49,117
2,2,1,50,117
1,1,0,50,118
2,1,2,50,118
3,2,3,48,118
1,1,0,50,119
2,1,2,50,119
3,2,3,48,119
1,1,0,50,120
2,1,2,50,120
3,2,3,48,120
1,1,0,50,121
2,1,2,50,121
3,2,3,48,121
1,1,0,50,122
2,1,2,50,122
3,2,3,48,122
1,1,0,50,123
2,1,2,50,123
3,2,3,48,123
1,1,0,50,124
2,1,2,50,124
3,2,3,48,124
1,1,0,50,125
2,1,2,50,125
3,2,3,48,125
1,1,0,50,126
2,1,2,50,126
3,2,3,48,126
1,1,0,50,127
2,1,2,50,127
3,2,3,48,127
1,1,0,50,128
2,1,2,50,128
3,2,3,48,128
1,1,0,52,129
2,1,2,49,129
3,2,3,48,129
1,1,0,52,130
2,1,2,49,130
3,2,3,48,130
1,1,0,52,131
2,1,2,49,131
3,2,3,48,131
1,1,0,52,132
2,1,2,49,132
3,2,3,48,132
1,1,0,52,133
2,1,2,49,133
3,2,3,48,133
1,1,0,52,134
2,1,2,49,134
3,2,3,48,134
1,1,0,52,135
2,1,2,49,135
3,2,3,48,135
1,1,0,52,136
2,1,2,49,136
3,2,3,48,136
1,1,0,52,137
2,1,2,49,137
3,2,3,48,137
1,1,0,52,138
2,1,2,49,138
3,2,3,48,138
1,1,0,49,139
2,1,2,49,139
3,3,1,50,139
1,1,0,49,140
2,1,2,49,140
3,3,1,50,140
1,1,0,49,141
2,1,2,49,141
3,3,1,50,141
1,1,0,49,142
2,1,2,49,142
3,3,1,50,142
1,1,0,49,143
2,1,2,49,143
3,3,1,50,143
1,1,0,49,144
2,1,2,49,144
3,3,1,50,144
1,1,0,49,145
2,1,2,49,145
3,3,1,50,145
1,1,0,49,146
2,1,2,49,146
3,3,1,50,146
1,1,0,49,147
2,1,2,49,147
3,3,1,50,147
1,1,0,49,148
2,1,2,49,148
3,3,1,50,148
1,1,0,51,149
2,1,2,49,149
3,2,3,48,149
1,1,0,51,150
2,1,2,49,150
3,2,3,48,150
1,1,0,51,151
2,1,2,49,151
3,2,3,48,151
1,1,0,51,152
2,1,2,49,152
3,2,3,48,152
1,1,0,51,153
2,1,2,49,153
3,2,3,48,153
1,1,0,51,154
2,1,2,49,154
3,2,3,48,154
1,1,0,51,155
2,1,2,49,155
3,2,3,48,155
1,1,0,51,156
2,1,2,49,156
3,2,3,48,156
1,1,0,51,157
2,1,2,49,157
3,2,3,48,157
1,1,0,51,158
2,1,2,49,158
3,2,3,48,158
1,1,0,125,159
2,1,2,51,159
3,2,3,49,159
1,1,0,125,160
2,1,2,51,160
3,2,3,49,160
1,1,0,125,161
2,1,2,51,161
3,2,3,49,161
1,1,0,125,162
2,1,2,51,162
3,2,3,49,162
1,1,0,125,163
2,1,2,51,163
3,2,3,49,163
1,1,0,125,164
2,1,2,51,164
3,2,3,49,164
1,1,0,125,165
2,1,2,51,165
3,2,3,49,165
1,1,0,125,166
2,1,2,51,166
3,2,3,49,166
1,1,0,125,167
