vertex_id:int,label_id:int,attr:string,rand:int
74,1,Hummingbird,3
78571,1,Lada_Samara,0
78573,1,Compact_car,9
78906,1,Passenger_ship,2
79647,1,BMW_328,5
79649,1,BMW_326,4
75,1,Stork,0
76,1,Porphyra,5
88049,1,Citroën_Dyane,9
88054,1,Four-wheel_drive,4
88059,1,Citroën_FAF,6
88061,1,Citroën_Ami,9
78,1,Amphiuma,2
88415,1,Lissamphibia,2
90488,1,Pilosa,4
79,1,‘Elepaio,7
80,1,Passerida,7
579,1,Millipede,5
101021,1,Myriapoda,4
81,1,Giardia,8
143558,1,Sarcomastigophora,1
82,1,Zoomastigophora,2
83,1,Diplomonad,8
143561,1,Hexamitidae,9
144299,1,Citroën_SM,3
144303,1,Citroën_DS,6
144304,1,Maserati_Merak,8
144305,1,Maserati_Quattroporte,0
144306,1,Citroën_CX,2
84,1,Heron,1
147428,1,Ford_Pinto,0
147430,1,Ford_Cortina,5
147431,1,Ford_Escort_(North_America),1
147550,1,Green_Goddess,1
147558,1,Bedford_RL,0
148783,1,Citroën_ZX,8
148786,1,Citroën_GS,5
148787,1,Citroën_Xsara,0
148788,1,Citroën_Elysée,6
148789,1,Peugeot_306,4
149070,1,Red_algae,6
149156,1,Porsche_Cayenne,2
149158,1,Mid-size_car,5
149160,1,Volkswagen_Touareg,8
149161,1,Audi_Q7,6
85,1,Western_marsh_harrier,2
86,1,Phalarope,8
151535,1,Pontiac_Vibe,4
151537,1,Geo_Prizm,7
151538,1,Buick_Verano,2
151539,1,Chevrolet_Orlando,4
151540,1,Toyota_Corolla,0
151542,1,Toyota_Sprinter,6
151544,1,Toyota_Auris,2
87,1,Ephedra_distachya,9
153050,1,Gnetophyta,9
88,1,Ephedra_(plant),0
89,1,Shrew,8
155715,1,Full-size_Ford,1
157776,1,Ford_Taurus,3
157778,1,Ford_LTD_(Americas),1
90,1,Rhinoceros,1
91,1,Penicillium,0
160080,1,Eurotiomycetes,3
92,1,Eurotiales,4
93,1,Trichocomaceae,0
94,1,Horned_owl,3
161894,1,Simca_Ariane,9
161896,1,Simca_1000,1
161897,1,Simca_1100,9
161899,1,Simca_1307,6
95,1,Phytophthora_infestans,9
96,1,Oomycete,3
97,1,Pythiaceae,3
98,1,Phytophthora,8
99,1,Kelp,0
100,1,Brown_algae,5
101,1,Oriolus,6
102,1,Amazon_river_dolphin,6
103,1,Iniidae,4
104,1,Inia,0
165715,1,Ford_Anglia,0
165720,1,Ford_Escort_(Europe),4
165722,1,Touring_car,6
105,1,Marasmiaceae,2
167269,1,Chiton,6
168744,1,Toyota_Carina,7
168760,1,Toyota_Supra,5
168793,1,Toyota_Corona,6
169226,1,DeLorean_DMC-12,9
169348,1,Vespa_400,8
169351,1,Microcar,7
169533,1,Nissan_GT-R,2
169534,1,Nissan_Skyline,8
173562,1,Edsel,2
173564,1,Edsel_Citation,9
173565,1,Edsel_Corsair,9
173566,1,Edsel_Pacer,6
173567,1,Edsel_Ranger,0
173568,1,Edsel_Bermuda,2
173569,1,Edsel_Villager,7
173570,1,Edsel_Roundup,6
175491,1,Volkswagen_Gol,1
175492,1,Compact_MPV,3
175499,1,SEAT_Toledo,2
175502,1,Volkswagen_Lavida,1
175503,1,Audi_A3,5
175504,1,Audi_TT,9
175505,1,SEAT_León,9
175506,1,Škoda_Octavia,1
175509,1,SEAT_Altea,4
175510,1,Volkswagen_Golf_Mk5,9
175513,1,Volkswagen_Passat,1
106,1,Suliformes,0
107,1,Amanitaceae,7
108,1,Amanita,5
177654,1,USS_Thresher_(SS-200),8
177655,1,Diesel-electric_transmission,7
177839,1,Astute-class_submarine,0
289,1,Centipede,4
180262,1,Lotus_Elise,8
180267,1,Opel_Speedster,0
180275,1,Lotus_Exige,4
180277,1,Lotus_Europa_S,2
180279,1,Hennessey_Venom_GT,9
180750,1,Ford_Sierra,6
180799,1,USS_Bang_(SS-385),1
180812,1,Lotus_Elite,0
180814,1,Lotus_Elite__Types_75_and_83__1,4
180818,1,Lotus_Eclat,2
181060,1,HMNZS_Achilles_(70),2
181061,1,Light_cruiser,2
181959,1,HMS_Good_Hope_(1901),0
181962,1,HMS_Kent_(1901),5
182110,1,HMS_Carnarvon,5
182767,1,HMS_Bristol_(1910),2
182769,1,HMS_Cornwall_(1902),9
109,1,Siberian_stonechat,0
110,1,Belted_kingfisher,2
184647,1,USS_Brooklyn_(ACR-3),8
184761,1,Lamborghini_Murciélago,3
184762,1,Lamborghini_Diablo,8
184763,1,Lamborghini_Aventador,0
184872,1,Lamborghini_Countach,4
111,1,Common_pheasant,0
113,1,Conoidasida,9
112,1,Eucoccidiorida,1
115,1,Sarcocystidae,9
116,1,Great_spotted_woodpecker,6
185917,1,USS_Tuscaloosa_(CA-37),2
186215,1,Liberty_ship,5
186216,1,Cargo_ship,4
186217,1,Victory_ship,4
117,1,Anser_(bird),9
118,1,Greater_white-fronted_goose,9
119,1,Huperzia,3
121,1,Huperziaceae,6
186697,1,USS_Baltimore_(CA-68),0
186728,1,USS_New_Orleans_(CA-32),5
122,1,Huperzia_porophila,0
123,1,Lycopodiaceae,2
187954,1,Synapsid,9
188109,1,Therapsid,4
124,1,Prorocentrales,3
125,1,Dinophyceae,5
189194,1,USS_West_Virginia_(ACR-5),1
189279,1,USS_Pennsylvania_(ACR-4),7
189355,1,USS_Maryland_(ACR-8),4
189780,1,USS_New_York_(ACR-2),3
126,1,Rallidae,1
190725,1,Rhizaria,4
190953,1,USS_Buffalo_(CL-110),6
191093,1,USS_Dolphin_(SS-169),9
191332,1,USS_Colorado_(ACR-7),4
127,1,Screamer,2
