type,x_id,x_attr,y_id,y_attr,edge_label,c,gar_id
Edge,2,,0,,49,,211
Edge,2,,0,,49,,212
Edge,1,,3,,49,,213
Edge,1,,3,,49,,214
Edge,1,,3,,49,,215
Edge,1,,3,,49,,216
Edge,1,,3,,49,,217
Edge,1,,3,,49,,218
Edge,1,,3,,49,,219
Edge,1,,3,,49,,220
Edge,1,,3,,49,,221
Edge,1,,3,,49,,222
Edge,1,,3,,48,,223
Edge,1,,3,,48,,224
Edge,1,,3,,48,,225
Edge,1,,3,,48,,226
Edge,1,,3,,48,,227
Edge,1,,3,,48,,228
Edge,1,,3,,48,,229
Edge,1,,3,,48,,230
Edge,1,,3,,48,,231
Edge,1,,3,,48,,232
Edge,1,,3,,48,,233
Edge,2,,0,,49,,234
Edge,2,,0,,49,,235
Edge,2,,0,,49,,236
Edge,2,,0,,49,,237
Edge,2,,0,,49,,238
Edge,2,,0,,49,,239
Edge,2,,0,,49,,240
Edge,2,,0,,49,,241
Edge,2,,0,,49,,242
Edge,2,,0,,49,,243
Edge,2,,0,,49,,244
Edge,1,,3,,49,,245
Edge,1,,3,,49,,246
Edge,1,,3,,49,,247
Edge,1,,3,,49,,248
Edge,1,,3,,49,,249
Edge,1,,3,,49,,250
Edge,1,,3,,49,,251
Edge,1,,3,,49,,252
Edge,1,,3,,49,,253
Edge,1,,3,,49,,254
Edge,1,,3,,49,,255
Edge,2,,0,,49,,256
Edge,2,,0,,49,,257
Edge,2,,0,,49,,258
Edge,2,,0,,49,,259
Edge,2,,0,,49,,260
Edge,2,,0,,49,,261
Edge,2,,0,,49,,262
Edge,2,,0,,49,,263
Edge,2,,0,,49,,264
Edge,2,,0,,49,,265
Edge,2,,0,,49,,266
Edge,1,,3,,48,,267
Edge,1,,3,,48,,268
Edge,1,,3,,48,,269
Edge,1,,3,,48,,270
Edge,1,,3,,48,,271
Edge,1,,3,,48,,272
Edge,1,,3,,48,,273
Edge,1,,3,,48,,274
Edge,1,,3,,48,,275
Edge,1,,3,,48,,276
Edge,1,,3,,48,,277
Edge,1,,3,,48,,278
Edge,1,,3,,48,,279
Edge,1,,3,,48,,280
Edge,1,,3,,48,,281
Edge,1,,3,,48,,282
Edge,1,,3,,48,,283
Edge,1,,3,,48,,284
Edge,1,,3,,48,,285
Edge,1,,3,,48,,286
Edge,1,,3,,48,,287
Edge,1,,3,,48,,288
Edge,3,,0,,49,,289
Edge,3,,0,,49,,290
Edge,3,,0,,49,,291
Edge,3,,0,,49,,292
Edge,3,,0,,49,,293
Edge,3,,0,,49,,294
Edge,3,,0,,49,,295
Edge,3,,0,,49,,296
Edge,3,,0,,49,,297
Edge,3,,0,,49,,298
Edge,3,,0,,49,,299
Edge,2,,0,,49,,300
Edge,2,,0,,49,,301
Edge,2,,0,,49,,302
Edge,2,,0,,49,,303
Edge,2,,0,,49,,304
Edge,2,,0,,49,,305
Edge,2,,0,,49,,306
Edge,2,,0,,49,,307
Edge,2,,0,,49,,308
Edge,2,,0,,49,,309
Edge,2,,3,,48,,310
Edge,2,,3,,48,,311
Edge,2,,3,,48,,312
Edge,2,,3,,48,,313
Edge,2,,3,,48,,314
Edge,2,,3,,48,,315
Edge,2,,3,,48,,316
Edge,2,,3,,48,,317
Edge,2,,3,,48,,318
Edge,2,,3,,48,,319
Edge,3,,0,,49,,320
Edge,3,,0,,49,,321
Edge,3,,0,,49,,322
Edge,3,,0,,49,,323
Edge,3,,0,,49,,324
Edge,3,,0,,49,,325
Edge,3,,0,,49,,326
Edge,3,,0,,49,,327
Edge,3,,0,,49,,328
Edge,3,,0,,49,,329
Edge,3,,0,,49,,330
Edge,3,,0,,48,,331
Edge,3,,0,,48,,332
Edge,3,,0,,48,,333
Edge,3,,0,,48,,334
Edge,3,,0,,48,,335
Edge,3,,0,,48,,336
Edge,3,,0,,48,,337
Edge,3,,0,,48,,338
Edge,3,,0,,48,,339
Edge,3,,0,,48,,340
Edge,3,,0,,48,,341
Edge,3,,0,,49,,342
Edge,3,,0,,49,,343
Edge,3,,0,,49,,344
Edge,3,,0,,49,,345
Edge,3,,0,,49,,346
Edge,3,,0,,49,,347
Edge,3,,0,,49,,348
Edge,3,,0,,49,,349
Edge,3,,0,,49,,350
Edge,3,,0,,49,,351
Edge,3,,0,,49,,352
Edge,1,,3,,49,,353
Edge,1,,3,,49,,354
Edge,1,,2,,49,,355
Edge,1,,2,,49,,356
Edge,1,,3,,48,,357
Edge,1,,2,,49,,358
Edge,1,,3,,49,,359
Edge,1,,3,,49,,360
Edge,1,,4,,49,,361
Edge,1,,3,,48,,362
Edge,1,,2,,49,,363
Edge,1,,3,,49,,364
Edge,1,,2,,49,,365
Edge,1,,3,,48,,366
Edge,1,,3,,48,,367
Edge,1,,3,,49,,368
Edge,1,,2,,49,,369
